GSE_ID,GPL_ID,nMuestras_GPL,nMuestas_adiposo,indicadorMT,ESTADO,criterio_de_exclusión
GSE80146,GPL6246,6,6,MONOTEJIDO,EXCLUIDO,3
GSE57513,GPL6246,6,6,MONOTEJIDO,EXCLUIDO,3
GSE79166,GPL6246,8,8,MONOTEJIDO,EXCLUIDO,3
GSE79164,GPL6246,8,8,MONOTEJIDO,EXCLUIDO,3
GSE79434,GPL6246,73,24,MULTITEJIDO,INCLUIDO,-
GSE61121,GPL6246,11,5,MULTITEJIDO,EXCLUIDO,3
GSE56635,GPL6246,3,1,MULTITEJIDO,EXCLUIDO,3
GSE56634,GPL6246,3,1,MULTITEJIDO,EXCLUIDO,3
GSE56852,GPL6246,4,4,MONOTEJIDO,EXCLUIDO,3
GSE63358,GPL6246,2,1,MULTITEJIDO,EXCLUIDO,3
GSE54652,GPL6246,288,48,MULTITEJIDO,EXCLUIDO,2
GSE54650,GPL6246,288,48,MULTITEJIDO,INCLUIDO,-
GSE55272,GPL6246,36,12,MULTITEJIDO,INCLUIDO,-
GSE51931,GPL6246,18,6,MULTITEJIDO,EXCLUIDO,3
GSE35026,GPL6246,24,24,MONOTEJIDO,INCLUIDO,-
GSE38321,GPL6246,10,10,MONOTEJIDO,INCLUIDO,-
GSE37514,GPL6246,15,15,MONOTEJIDO,INCLUIDO,-
GSE27525,GPL6246,2,2,MONOTEJIDO,EXCLUIDO,3
GSE26442,GPL6246,9,9,MONOTEJIDO,EXCLUIDO,3
GSE24940,GPL6246,40,3,MULTITEJIDO,EXCLUIDO,3
GSE20121,GPL6246,24,0,MULTITEJIDO,EXCLUIDO,1
GSE125900,GPL6887,4,4,MONOTEJIDO,EXCLUIDO,3
GSE123990,GPL6887,6,6,MONOTEJIDO,EXCLUIDO,3
GSE120243,GPL6887,27,9,MULTITEJIDO,EXCLUIDO,3
GSE97145,GPL6887,11,11,MONOTEJIDO,INCLUIDO,-
GSE82328,GPL6887,4,4,MONOTEJIDO,EXCLUIDO,3
GSE63198,GPL6887,6,6,MONOTEJIDO,EXCLUIDO,3
GSE70300,GPL6887,24,10,MULTITEJIDO,INCLUIDO,-
GSE64718,GPL6887,33,33,MONOTEJIDO,INCLUIDO,-
GSE64060,GPL6887,6,6,MONOTEJIDO,EXCLUIDO,3
GSE62612,GPL6887,41,11,MULTITEJIDO,INCLUIDO,-
GSE62937,GPL6887,24,24,MONOTEJIDO,INCLUIDO,-
GSE54189,GPL6887,18,9,MULTITEJIDO,EXCLUIDO,3
GSE55057,GPL6887,12,12,MONOTEJIDO,INCLUIDO,-
GSE56711,GPL6887,12,0,MULTITEJIDO,EXCLUIDO,1
GSE39549,GPL6887,91,40,MULTITEJIDO,INCLUIDO,-
GSE53980,GPL6887,3,3,MONOTEJIDO,EXCLUIDO,3
GSE50647,GPL6887,42,42,MONOTEJIDO,INCLUIDO,-
GSE37238,GPL6887,4,4,MONOTEJIDO,EXCLUIDO,3
GSE35431,GPL6887,12,6,MULTITEJIDO,EXCLUIDO,3
GSE30116,GPL6887,6,6,MONOTEJIDO,EXCLUIDO,3
GSE33684,GPL6885,16,16,MONOTEJIDO,INCLUIDO,-
GSE123990,GPL6885,12,12,MONOTEJIDO,EXCLUIDO,4
GSE113808,GPL6885,16,16,MONOTEJIDO,INCLUIDO,-
GSE111735,GPL6885,8,8,MONOTEJIDO,EXCLUIDO,3
GSE118034,GPL6885,24,6,MULTITEJIDO,EXCLUIDO,3
GSE104128,GPL6885,31,16,MULTITEJIDO,INCLUIDO,-
GSE97910,GPL6885,72,72,MONOTEJIDO,INCLUIDO,-
GSE63761,GPL6885,8,8,MONOTEJIDO,EXCLUIDO,3
GSE70857,GPL6885,96,48,MULTITEJIDO,INCLUIDO,-
GSE64770,GPL6885,112,0,MONOTEJIDO,EXCLUIDO,1
GSE62324,GPL6885,12,12,MONOTEJIDO,INCLUIDO,-
GSE40428,GPL6885,16,8,MULTITEJIDO,EXCLUIDO,3
GSE57659,GPL6885,179,179,MONOTEJIDO,INCLUIDO,-
GSE39313,GPL6885,48,16,MULTITEJIDO,INCLUIDO,-
GSE29502,GPL6885,8,8,MONOTEJIDO,EXCLUIDO,3
GSE118876,GPL16570,12,12,MONOTEJIDO,INCLUIDO,-
GSE113507,GPL16570,6,6,MONOTEJIDO,EXCLUIDO,3
GSE111809,GPL16570,14,4,MULTITEJIDO,EXCLUIDO,3
GSE111744,GPL16570,4,4,MONOTEJIDO,EXCLUIDO,3
GSE104955,GPL16570,16,16,MONOTEJIDO,INCLUIDO,-
GSE99064,GPL16570,8,8,MONOTEJIDO,EXCLUIDO,3
GSE87661,GPL16570,24,24,MONOTEJIDO,INCLUIDO,-
GSE84809,GPL16570,12,8,MULTITEJIDO,EXCLUIDO,3
GSE79711,GPL16570,12,12,MONOTEJIDO,INCLUIDO,-
GSE60150,GPL16570,37,37,MONOTEJIDO,INCLUIDO,-
